,StationName,Latitude,Longitude,2019-03-16 00:00:00,2019-03-16 04:00:00,2019-03-16 08:00:00,2019-03-16 12:00:00,2019-03-16 16:00:00,2019-03-16 20:00:00,2019-03-17 00:00:00,2019-03-17 04:00:00,2019-03-17 08:00:00,2019-03-17 12:00:00,2019-03-17 16:00:00,2019-03-17 20:00:00,2019-03-18 00:00:00,2019-03-18 04:00:00,2019-03-18 08:00:00,2019-03-18 12:00:00,2019-03-18 16:00:00,2019-03-18 20:00:00,2019-03-19 00:00:00,2019-03-19 04:00:00,2019-03-19 08:00:00,2019-03-19 12:00:00,2019-03-19 16:00:00,2019-03-19 20:00:00,2019-03-20 00:00:00,2019-03-20 04:00:00,2019-03-20 08:00:00,2019-03-20 12:00:00,2019-03-20 16:00:00,2019-03-20 20:00:00,2019-03-21 00:00:00,2019-03-21 04:00:00,2019-03-21 08:00:00,2019-03-21 12:00:00,2019-03-21 16:00:00,2019-03-21 20:00:00,2019-03-22 00:00:00,2019-03-22 04:00:00,2019-03-22 08:00:00,2019-03-22 12:00:00,2019-03-22 16:00:00
0,34 ST-HERALD SQ,40.748897899999996,-73.98878859999998,6307.0,5910.0,25865.0,45119.0,51318.0,27575.0,5377.0,4866.0,21503.0,35464.0,37298.0,17635.0,2326.0,16750.0,61235.0,43002.0,86199.0,26643.0,3418.0,17788.0,61156.0,43873.0,86939.0,29770.0,3555.0,17564.0,62440.0,45200.0,87754.0,30415.0,3911.0,11532.0,41355.0,37250.0,71125.0,30348.0,4090.0,16149.0,59242.0,47815.0,85585.0
1,TIMES SQ-42 ST,40.7545563,-73.98667370000001,6908.0,4476.0,19425.0,35346.0,42534.0,27982.0,6416.0,3664.0,21054.0,27502.0,30041.0,17477.0,2926.0,13742.0,48013.0,31683.0,62876.0,22316.0,3544.0,14211.0,49856.0,33506.0,67146.0,27174.0,4031.0,14092.0,51253.0,36568.0,69167.0,28725.0,4465.0,13959.0,49469.0,34313.0,66854.0,27257.0,3888.0,11285.0,47437.0,36289.0,65567.0
2,34 ST-PENN STA,40.751056,-73.99031020000001,4875.0,7070.0,26529.0,39854.0,43090.0,21598.0,3839.0,4537.0,22758.0,35528.0,32966.0,15120.0,2002.0,26519.0,64272.0,38653.0,80606.0,15874.0,828.0,27857.0,64633.0,39751.0,82975.0,17705.0,818.0,27052.0,63807.0,40926.0,83407.0,19456.0,881.0,27014.0,64102.0,35269.0,73677.0,16920.0,1018.0,24498.0,61604.0,44890.0,77529.0
3,59 ST COLUMBUS,40.7684839,-73.98180699999999,2608.0,3410.0,15397.0,25496.0,25604.0,12177.0,2384.0,2781.0,23372.0,22822.0,18483.0,7431.0,1048.0,10238.0,31939.0,28479.0,42381.0,13831.0,1491.0,10998.0,33044.0,28904.0,44115.0,16089.0,1752.0,10812.0,32881.0,29742.0,44396.0,16129.0,1787.0,10496.0,32849.0,28477.0,42514.0,14766.0,1742.0,9524.0,30041.0,28099.0,38423.0
4,86 ST,40.7795016,-73.95557240000001,1995.0,3199.0,14861.0,24761.0,25174.0,9920.0,1556.0,2354.0,11113.0,18826.0,16264.0,6063.0,707.0,12466.0,29237.0,25049.0,30884.0,9848.0,736.0,13402.0,29933.0,25480.0,38213.0,10828.0,948.0,12968.0,30390.0,25676.0,36821.0,10680.0,943.0,12601.0,30621.0,26469.0,36021.0,10477.0,845.0,11366.0,30067.0,27640.0,36286.0
5,GRD CNTRL-42 ST,40.75216470000001,-73.97715339999998,2773.0,3056.0,16547.0,26850.0,23229.0,10437.0,2077.0,1936.0,12413.0,17355.0,16472.0,7039.0,848.0,15918.0,44058.0,24840.0,50691.0,10516.0,1391.0,15921.0,45320.0,26145.0,52229.0,12122.0,1449.0,16158.0,43709.0,26798.0,52302.0,12141.0,1502.0,15737.0,46476.0,28442.0,55804.0,12652.0,1607.0,14149.0,41319.0,28214.0,48604.0
6,59 ST,40.6415685,-74.0176783,933.0,3903.0,7464.0,23183.0,20054.0,8352.0,1810.0,2607.0,10559.0,15323.0,13523.0,5928.0,1027.0,12038.0,31952.0,23279.0,39239.0,10649.0,1571.0,13469.0,33784.0,24607.0,40712.0,11397.0,1535.0,13398.0,34229.0,25209.0,40714.0,11404.0,1735.0,13099.0,33377.0,24314.0,39268.0,11388.0,1646.0,12239.0,32564.0,25311.0,37812.0
7,FLUSHING-MAIN,40.75955820000001,-73.82992209999998,2298.0,5938.0,16494.0,18889.0,20565.0,11879.0,2108.0,3385.0,12655.0,15850.0,15858.0,8910.0,1349.0,17378.0,25516.0,19700.0,31113.0,12994.0,1514.0,17675.0,25863.0,20412.0,32395.0,13229.0,1588.0,17466.0,25843.0,20197.0,32122.0,13108.0,1772.0,17165.0,24367.0,19110.0,30971.0,12238.0,1634.0,16180.0,24487.0,19484.0,30503.0
8,ATL AV-BARCLAY,40.6837598,-73.97875739999998,2092.0,2222.0,10772.0,20380.0,19986.0,9294.0,2455.0,2125.0,9799.0,17149.0,14492.0,5628.0,958.0,7287.0,17477.0,16068.0,27195.0,7524.0,864.0,7550.0,17307.0,16326.0,27626.0,8352.0,908.0,8871.0,21079.0,16693.0,27697.0,8453.0,1142.0,8715.0,20282.0,16027.0,26067.0,8208.0,1105.0,7854.0,19940.0,18216.0,27722.0
9,23 ST,40.7413626,-73.9891335,2545.0,1886.0,11972.0,21349.0,22246.0,10841.0,2720.0,1827.0,9306.0,17675.0,17893.0,7595.0,942.0,7207.0,32342.0,24103.0,45603.0,11829.0,815.0,7814.0,34497.0,25277.0,47624.0,13415.0,790.0,7652.0,34122.0,26015.0,47719.0,13457.0,1016.0,7411.0,34163.0,25692.0,48713.0,14061.0,1028.0,6867.0,31383.0,26290.0,43685.0
